species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guilds,trophic_guild_primary,trophic_qa_answer,trophic_sources,body_size_range_mm,body_size_measurements_mm,body_size_qa_answer,body_size_sources,habitat_categories,habitat_qa_answer,habitat_sources
Isotoma anglicana,Isotoma,Isotomidae,247611,species,omnivore|algivore|fungivore|bacterivore|detritivore,omnivore,"Isotoma anglicana feeds on a wide variety of resources including leaf litter, fungi, bacteria, roots, and algae, which are common food sources for Collembola .",PMC12547479(pmc),,,,,grassland,"Isotoma anglicana is a species of springtail (Collembola), and it inhabits environments where nutrients are added, such as upland grasslands subjected to nutrient enrichment . However, specific details about its exact habitat preferences or geographic distribution are not explicitly mentioned in the given texts.",18257955(medline)
Isotoma caerulea,Isotoma,Isotomidae,308473,species,unknown,unknown,"Isotoma caerulea is not mentioned. However, there is mention of ""Shairella quadricostata"" feeding on the leaves of Hemiboea bicornuta . There is also reference to ""Altica caerulea,"" which may feed on Ludwigia . Since ""Isotoma caerulea"" is not explicitly discussed in the given sources, no specific diet can be confirmed from these texts.",82C415DFB2AD5548B1D30A8B6AAE60E4(plazi)|03CB6450FFA9F97F76A8CABDFD0B4A9A(plazi),,,"the body length of *Isotoma caerulea* is not explicitly stated. However, it is mentioned in the context of being one of the species listed in a detailed molecular database entry . For precise measurements, additional sources would be required.",PMC12547479(pmc),soil|grassland,"Isotoma caerulea is not mentioned. However, Molinia caerulea, which is referenced in source , inhabits wet meadows. This species was studied in relation to fungal colonization and soil microbial processes in transferred ecosystems. No specific details about the habitat of Isotoma caerulea are available in the given sources.",31202018(medline)
Isotoma riparia,Isotoma,Isotomidae,252253,species,unknown,unknown,there is no specific information indicating what *Isotoma riparia* feeds on. The sources describe taxonomic details and morphological characteristics but do not provide dietary information for this species .,03BB5233FF84FFCAE5DA664220C7FE63(plazi),,,"there is no specific mention of the body length of *Isotoma riparia*. The sources discuss taxonomic descriptions and genetic studies but do not provide morphometric details such as body length . Therefore, the body length of *Isotoma riparia* cannot be determined from the given information.",30313834(medline),,"Isotoma riparia is not directly mentioned. However, there is mention of Riparia riparia, which refers to a bird species, not an insect or another organism named Isotoma riparia. Therefore, the specific habitat of Isotoma riparia cannot be determined from the given sources.",28310404(medline)
Isotoma viridis,Isotoma,Isotomidae,187635,species,fungivore|algivore,fungivore,"*Isotoma viridis* exhibits a flexible diet that varies depending on the age of the substrate. On young substrates (3-year-old ground), it primarily consumes mineral particles, possibly supplemented by biofilm. As the substrate matures (up to 63 years old), *Isotoma viridis* transitions to becoming a typical fungal feeder . Additionally, its dietary preferences can be influenced by surrounding…",PMC7564799(pmc)|PMC8093729(pmc),,,"the body length of *Isotoma viridis* is not explicitly stated. However, it is mentioned that the body is ""uniformly coloured, without 3 longitudinal lines"" , which describes morphological characteristics rather than dimensions. Therefore, specific body length data for *Isotoma viridis* are lacking in the given sources.",03E5878DFFC6FFA3FFAEFE8983B5FBBF(plazi),leaf_litter|grassland|marine_coastal|soil|forest_wood|alpine_glacier,"*Isotoma viridis* inhabits soil and leaf litter in various environments such as pastureland and under oak trees in Iran . It is also found in forested areas, meadows, seashores, and alpine tundra across its Holarctic range .",721B6E0C8C3DFF82FF382185A8572438(plazi)|03E5878DFFC1FFA6FF5DFB9D87E0FA18(plazi)
Isotomiella minor,Isotomiella,Isotomidae,370032,species,detritivore,detritivore,"there is no explicit mention of what Isotomiella minor feeds on. However, it is noted that Ceratophysella denticulata feeds on organic matter in the soil . For Isotomiella minor, its ecological role and diet are not specified in the given texts. Therefore, the specific dietary preferences of Isotomiella minor cannot be determined from the available information .",PMC4947257(pmc),,,"the body length of *Isotomiella minor* is not explicitly mentioned. However, it is noted that there are differences in cold tolerance and potential correlations with body size among populations of this species . For more specific details on body length, additional research would be required.",42005799(medline),forest_wood|grassland|freshwater|synanthropic,"*Isotomiella minor* inhabits both natural and urban environments. It is found in natural habitats such as meadows, forests, and riparian zones . Additionally, populations of *I. minor* have been identified in urban areas, suggesting adaptability to human-altered environments .",42005799(medline)|29362535(medline)
Isotomiella paraminor,Isotomiella,Isotomidae,2905846,species,unknown,unknown,there is no specific information regarding the diet or feeding habits of *Isotomiella paraminor*. The sources describe morphological characteristics and taxonomic relationships within the genus *Isotomiella* but do not mention feeding behavior or food sources . Further research would be needed to determine the ecological niche and dietary preferences of this species.,742B3C56CCD5FC033FC6798E54B7D3EB(plazi)|7B29CC6AFFB2FFD1FBCD0DAAAC96F951(plazi)|B469D083FD389306D2FAD873E3ACCAFE(plazi)|03D787EF2736173916FFAD88FD56FECD(plazi)|03D787EF2734173816FFABD8FE9EFD0D(plazi),,,"there is no specific mention of the body length of *Isotomiella paraminor*. The sources discuss *Isotomiella minor* and general characteristics of Collembola, such as body size variations in response to environmental factors, but do not provide detailed measurements for *Isotomiella paraminor* , . Further research would be needed to determine this parameter.",42005799(medline)|34367606(medline),synanthropic,"Isotomiella minor is found in both natural and urban habitats. Natural populations of I. minor were found in colder environments, while urban populations were adapted to warmer conditions . However, specific details about the exact habitat of Isotomiella paraminor are not mentioned in the given sources.",42005799(medline)
Isotomodes trisetosus,Isotomodes,Isotomidae,1184818,genus,unknown,unknown,"there is no specific information regarding the diet of *Isotomodes trisetosus*. The sources describe its taxonomy, geographic distribution, and morphological characteristics but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",D13B879DFFE3FF93FF45ECD6FDB0FA27(plazi),,,"there is no specific mention of the body length of *Isotomodes trisetosus*. The text refers to *Neoleptastacus trisetosus* (Mielke, 1982) being identified as a distinct species, but it does not provide any measurements or dimensions related to its body length . Therefore, the body length of *Isotomodes trisetosus* cannot be determined from the given source.",39646910(medline),,,
Isotomurus alticolus,Isotomurus,Isotomidae,36142,genus,unknown,unknown,there is no direct information about the diet of *Isotomurus alticolus*. The sources mention its presence in specific habitats and ecological contexts but do not specify feeding habits . Additional research would be needed to determine its dietary preferences.,PMC7564799(pmc)|10.11646/zootaxa.5147.1.1(pmc),,,"there is no specific mention of the body length of *Isotomurus alticolus*. The document discusses several species within the genus *Isotomurus*, including *Isotomurus hyrcanicus* sp. nov., *Isotomurus potapovi* sp. nov., and *Isotomurus katule* sp. nov., detailing their body lengths, but does not provide data for *Isotomurus alticolus*. Therefore, the body length of *Isotomurus alticolus* cannot…",10.11646/zootaxa.5230.1.3(pmc),forest_wood|grassland,"*Isotomurus alticolus* is associated with damp habitats, specifically forests and areas near water . This species is also found in grassland environments, indicating a preference for moist conditions .",10.11646/zootaxa.5230.1.3(pmc)|10.11646/zootaxa.4838.3.10(pmc)
Isotomurus antennalis,Isotomurus,Isotomidae,370027,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Isotomurus antennalis*. The available sources focus on taxonomic revisions, morphological characteristics, and distribution data rather than ecological preferences or food sources . Further research would be required to determine its dietary habits.",37044858(medline)|33056819(medline),1.3,1.3,"the body length of *Isotomurus antennalis* is not explicitly mentioned. However, related species within the genus *Isotomurus*, such as *Isotomurus hyrcanicus* sp. nov., have a body length of 1.3 mm . The absence of specific measurements for *Isotomurus antennalis* in the given sources means its exact body length cannot be determined from this information alone.",10.11646/zootaxa.5230.1.3(pmc),grassland|soil,*Isotomurus antennalis* inhabits the soil of grassland and meadow ecosystems in Iran . There is no additional detailed information about its global distribution or other specific ecological preferences beyond what is stated.,721B6E0C8C3DFF82FF382275AE002214(plazi)
Isotomurus balteatus,Isotomurus,Isotomidae,39401,species,unknown,unknown,"*Episyrphus balteatus* feeds on aphids, specifically *Aphis gossypii*, and also consumes other insects such as larvae of the fall armyworm (*Spodoptera frugiperda*) . Additionally, it lays eggs on host plants where aphids are present, as they feed on the host plant aphids previously selected by the mother .",35078216(medline)|12425047(medline),,,"there is no specific mention of the body length of *Isotomurus balteatus*. However, it is noted that *Episyrphus balteatus*, a hoverfly, has been studied in terms of developmental traits and behavior under varying day lengths . For precise body length measurements of *Isotomurus balteatus*, additional research or documentation would be required.",28726267(medline),leaf_litter|forest_wood,Isotomurus balteatus is found in forest leaf litter in Iran . The general distribution of this species is unclear and requires further revision .,721B6E0C8C3DFF82FF382571A9C22310(plazi)
Isotomurus cassagnaui,Isotomurus,Isotomidae,2083174,species,unknown,unknown,there is no specific information regarding the diet of *Isotomurus cassagnaui*. The sources describe morphological characteristics and taxonomic details of the species but do not mention feeding habits . Further studies would be required to determine its dietary preferences.,37044858(medline)|33056819(medline)|25661226(medline)|26624400(medline),,,"there is no specific mention of the body length of *Isotomurus cassagnaui*. The sources describe morphological characteristics such as color patterns, setae counts, and chaetotaxic features, but do not provide measurements related to body length . Therefore, the body length of *Isotomurus cassagnaui* cannot be determined from the available information.",37044858(medline),,,
Isotomurus gallicus,Isotomurus,Isotomidae,2083175,species,unknown,unknown,"there is no specific information about the diet of *Isotomurus gallicus*. The mentioned studies focus on ecological roles, isotopic analyses, and microbial communities associated with arthropods, but none directly address the feeding habits of *Isotomurus gallicus* . Therefore, the dietary preferences of this species cannot be determined from the given sources.",PMC8761369(pmc)|PMC7564799(pmc),11-14.6,11.0|14.6|11.0|14.6,"there is no specific mention of ""Isotomurus gallicus."" However, document refers to ""Bolbelasmus gallicus,"" which has a total body length of 11.0–14.6 mm. Therefore, if there was a confusion in the name, the body length for *Bolbelasmus gallicus* is 11.0–14.6 mm .",2F75BE40FFB4BE2FFE41FD4DFBAAF349(plazi),forest_wood,"there is no specific mention of the habitat of *Isotomurus gallicus*. The available information pertains to other species within the genus *Isotomurus*, such as *I. katule*, *I. palustris*, *I. afghanicus*, and *I. unifasciatus*, which inhabit damp habitats, forests, and areas near water . No data regarding *I. gallicus* is provided in the cited sources.",10.11646/zootaxa.5230.1.3(pmc)
Isotomurus graminis,Isotomurus,Isotomidae,1184803,species,unknown,unknown,"Isotomurus graminis is mentioned as feeding on Cyperaceae, similar to Antonina australis, and occasionally on Gramineae . However, no direct dietary information specifically about Isotomurus graminis itself is given in the sources.",405C8787FF8EFFA8DBE3FCE1FDE9FDD6(plazi),1.3,1.3,"the body length of *Isotomurus graminis* is not explicitly stated. However, related species within the genus *Isotomurus*, such as *Isotomurus hyrcanicus* sp. nov., have a body length of 1.3 mm . While this may provide an approximate idea, it does not directly indicate the body length of *Isotomurus graminis*.",10.11646/zootaxa.5230.1.3(pmc),grassland,"there is no specific mention of the habitat of *Isotomurus graminis*. However, related species like *Chrysolina graminis* inhabit areas with its host plant *Tanacetum vulgare*, such as meadows and other vegetated habitats . Without direct information on *Isotomurus graminis*, its habitat cannot be specified here.",17661088(medline)
Isotomurus maculatus,Isotomurus,Isotomidae,36143,species,omnivore|algivore|detritivore|fungivore|bacterivore,omnivore,"there is no direct information about the diet of *Isotomurus maculatus*. However, as a Collembola (springtail), it is likely to feed on decaying organic matter, algae, fungi, or bacteria, which are typical food sources for many springtail species .",10.11646/zootaxa.5230.1.3(pmc),,,"the body length of *Isotomurus maculatus* is not explicitly stated. However, it is noted that *Isotomurus maculatus* clusters with *Metisotoma macnamarai* in phylogenetic analyses . For precise body length measurements, additional data would be required.",PMC7748580(pmc),leaf_litter|soil|forest_wood,"*Isotomurus maculatus* inhabits along pods and puddles in forests , and it is found in soil and leaf litter in Iran . Additionally, it may occur in habitats affected by human activities .",10.11646/zootaxa.5230.1.3(pmc)|10.11646/zootaxa.5275.1.1(pmc)
Isotomurus palustris,Isotomurus,Isotomidae,36144,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Isotomurus palustris*. The available sources focus on taxonomy, geographic distribution, and ecological preferences rather than dietary information . Therefore, the feeding ecology of this species remains unspecified in the given context.",03C08371CC50FF9ABDBC2793FC7CFE75(plazi)|266B5D55F707FF95FF7EFB4943EEF859(plazi)|0D38B345FFBF1D05D952FC81335274F3(plazi)|03AA531A0F5F3530FF5858C8FC34A3FA(plazi),,,"there is no specific mention of the body length of *Isotomurus palustris*. The document discusses the morphology of *Isotomurus* species, including color patterns and setal counts, but does not provide body length measurements for *I. palustris*. Therefore, the body length of *Isotomurus palustris* cannot be determined from the given sources.",37044858(medline),,"*Isotomurus palustris* inhabits damp habitats . Additionally, it has been found in ruderal areas within polder habitats, where ecological flooding influences its community structure .",10.11646/zootaxa.5230.1.3(pmc)|PMC3131029(pmc)
Isotomurus plumosus,Isotomurus,Isotomidae,1410395,species,unknown,unknown,"there is no direct information about the diet of *Isotomurus plumosus*. The mentioned references discuss *Chironomus plumosus*, which is a dipteran fly, not a collembolan springtail. Therefore, the feeding habits of *Isotomurus plumosus* are not addressed in the given sources .",37044858(medline)|33056819(medline),1.92,1.92,the body length of *Isotomurus plumosus* is approximately 1.92 mm .,6C5787D6FFBEB46F6D0A6819FD1301A2(plazi),,"there is no direct mention of the habitat of *Isotomurus plumosus*. However, one document refers to *Trachypogon plumosus*, a tropical C4 grass found in wetter and more fertile habitats . It is important to note that *Isotomurus plumosus* and *Trachypogon plumosus* are distinct taxa, and thus the habitat information for *Trachypogon plumosus* cannot be assumed for *Isotomurus plumosus*.…",28312129(medline)
Isotomurus pseudopalustris,Isotomurus,Isotomidae,2926726,species,unknown,unknown,"there is no specific information about the feeding habits of *Isotomurus pseudopalustris*. The available sources describe morphological characteristics, genetic analysis, and ecological responses to environmental factors, but none mention the dietary preferences of this species . Further research would be needed to determine its food source.",37044858(medline)|33056819(medline)|21356127(medline)|15093010(medline)|35070508(medline),1.3,1.3,"the body length of *Isotomurus pseudopalustris* is not explicitly stated. However, it can be inferred that its body length is similar to closely related species such as *Isotomurus hyrcanicus sp. nov.*, which has a body length of 1.3 mm . No direct measurement for *Isotomurus pseudopalustris* is given in the sources.",10.11646/zootaxa.5230.1.3(pmc),soil|grassland,"the habitat of *Isotomurus pseudopalustris* is not explicitly stated. However, it is noted that *Isotomurus hyrcanicus* sp. nov., which is closely related to *I. pseudopalustris*, inhabits soil in rice fields . Since *I. pseudopalustris* shares some morphological similarities with *I. hyrcanicus* sp. nov., it may also inhabit similar environments, though this remains speculative without direct…",721B6E0C8C3DFF82FF382749AED221DB(plazi)
Isotomurus stuxbergi,Isotomurus,Isotomidae,1410388,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Isotomurus stuxbergi*. The sources primarily discuss taxonomy, distribution, and related species rather than ecological interactions or dietary preferences . Further research would be needed to determine its feeding behavior.",266B5D55F708FF9AFF7EFC7C458DFB4C(plazi)|266B5D55F708FF9AFF7EFB7246ADF985(plazi)|98E20638EF1752CFB92E71ADD92DFBF9(plazi)|266B5D55F707FF95FF7EFB4943EEF859(plazi),1.5,1.5,"the body length of *Isotomurus stuxbergi* is not explicitly mentioned. However, a related species, *Desoria calderonis*, has a mean body length of 1.5 mm . For *I. stuxbergi*, further specific measurements are required from dedicated studies.",10.5852/ejt.2021.787.1599(pmc),soil|grassland|freshwater|marine_coastal,"*Isotomurus stuxbergi* inhabits wet environments, specifically soil in rice fields in Iran . Additionally, it has been recorded from the shores of Lake Baikal and saline lakes in continental Asia . The species is associated with moist habitats such as muddy surfaces near water bodies .",PMC7256071(pmc)|10.11646/zootaxa.5275.1.1(pmc)|PMC6892962(pmc)
Isotomurus unifasciatus,Isotomurus,Isotomidae,48718,species,unknown,unknown,"there is no direct information about the diet of *Isotomurus unifasciatus*. However, it is mentioned that *Rhopaloscelis unifasciatus*, which appears to be a different species, feeds on the young and thin twigs or branches of various deciduous species . Therefore, we cannot infer the feeding habits of *Isotomurus unifasciatus* from this source.",9913649E787CEED9328D102A93E35A63(plazi),1.3-1.35,1.3|1.3|1.35,"the body length of *Isotomurus unifasciatus* is not directly stated. However, it can be inferred that the body length of *Isotomurus unifasciatus* is approximately 1.3 mm, as this value is mentioned alongside comparisons with *Isotomurus hyrcanicus* sp. nov. and *Isotomurus potapovi* sp. nov., which have lengths of 1.3 mm and 1.35 mm respectively .",03C54558BD24FFF01498FF270CE8F954(plazi),,,
Kalaphorura paradoxa,Kalaphorura,Onychiuridae,187649,species,unknown,unknown,"Kalaphorura paradoxa is mentioned in the context of being a collembolan species, but there is no specific information regarding its diet or feeding habits. The references primarily discuss species diversity and distribution rather than ecological interactions or dietary preferences . Therefore, the available sources do not provide details on what Kalaphorura paradoxa feeds on.",PMC4467183(pmc)|10.11646/zootaxa.5182.5.3(pmc),,,"there is no mention of the body length of *Kalaphorura paradoxa*. The sources discuss various organisms named ""paradoxa,"" such as *Protopterus aethiopicus*, *Pe. paradoxa*, *Bursera paradoxa*, *Cyanophora paradoxa*, and *Vitellaria paradoxa*, but none refer to *Kalaphorura paradoxa* or its body length .",36895049(medline)|29219044(medline)|41858504(medline)|17897412(medline)|33365563(medline),freshwater,"there is no specific mention of the habitat of *Kalaphorura paradoxa*. However, if this is a typographical error and you meant *Cyanophora paradoxa*, it is noted that this organism has a peculiar habitat, though the exact details are not specified in the source text . For other species named *paradoxa* such as *Perissoneura paradoxa* and *Luispenaia paradoxa*, their habitats include aquatic…",14086136(medline)
Lathriopyga longiseta,Lathriopyga,Neanuridae,106924,species,bacterivore|predator,bacterivore,"Lathriopyga longiseta is mentioned in relation to environmental factors affecting rotifer communities, but there is no direct information about its diet. However, it is noted that certain rotifer species, like K. quadrata and T. longiseta, are associated with changes in chlorophyll-a levels, suggesting possible links to phytoplankton or other microorganisms . For precise dietary information on…",PMC3705949(pmc),,,"there is no information regarding the body length of *Lathriopyga longiseta*. The term ""longiseta"" appears in several contexts related to different taxa, but none pertain to *Lathriopyga longiseta* or its physical characteristics .",26473226(medline)|17168378(medline)|27701290(medline)|15912953(medline)|34810486(medline),marine_coastal,"Lathriopyga longiseta is not mentioned. However, Fortuynia longiseta was found in littoral environments of the Maldives and Singapore, specifically in intertidal zones . If there is confusion between Lathriopyga and Fortuynia genera, it would be necessary to clarify as they are different genera within Acari: Oribatida.",26249083(medline)
Lepidocyrtus cyaneus,Lepidocyrtus,Lepidocyrtidae,247612,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Lepidocyrtus cyaneus*. The sources describe taxonomic details, distribution, and morphological characteristics but do not mention ecological interactions such as food sources . Further research would be needed to determine its dietary preferences.",03DEAA2DFFA3503E16AD564FFE7DFD73(plazi)|266B5D55F712FF80FF7EFB944506FA25(plazi)|266B5D55F712FF81FF7EF9534577FE1A(plazi)|A90387B3FFB6FFBFFF11F944FB455554(plazi),,,"there is no specific mention of the body length of *Lepidocyrtus cyaneus*. The sources discuss various aspects of *Lepidocyrtus* species, such as taxonomy, morphology, and genetic analysis, but none provide measurements related to body length for *Lepidocyrtus cyaneus* .",14629361(medline)|26624705(medline)|42408953(medline)|42407751(medline)|26624165(medline),grassland,"*Lepidocyrtus cyaneus* inhabits grassland areas, specifically mentioned as being found in a ""grassland"" habitat . Additionally, it has been observed in environments affected by ecological flooding, indicating its presence in moist or flooded grasslands . It is also noted in studies related to spoil tips and surrounding environments, suggesting adaptability to various terrestrial habitats .",PMC7290404(pmc)|PMC6117009(pmc)|PMC6305484(pmc)
Lepidocyrtus fimetarius,Lepidocyrtus,Lepidocyrtidae,2583952,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of **Lepidocyrtus fimetarius**. The sources mention its classification, geographic distribution, and genetic data but do not describe its food source . Therefore, the dietary preferences of this species remain unspecified in the given context.",PMC9864308(pmc)|PMC10838177(pmc)|PMC10823885(pmc)|PMC10193586(pmc),,,"there is no specific mention of the body length of *Lepidocyrtus fimetarius*. The sources discuss genetic sequences, phylogenetic relationships, and taxonomic positions but do not provide morphological measurements such as body length .",PMC10823885(pmc)|PMC9366459(pmc)|PMC10193586(pmc)|PMC7824276(pmc)|10.11646/zootaxa.5604.3.1(pmc),soil|cave,"Lepidocyrtus fimetarius is noted as the earliest-diverging member of Entomobryoidea, but specific habitat details for this species are not explicitly mentioned in the texts. However, it is implied that some members of its subfamily, Lepidocyrtinae, may have adapted to belowground habitats, suggesting potential subterranean or soil-dwelling behavior . Further detailed ecological studies would be…",PMC9366459(pmc)
Lepidocyrtus lanuginosus,Lepidocyrtus,Lepidocyrtidae,186250,species,unknown,unknown,"there is no specific information regarding the diet of *Lepidocyrtus lanuginosus*. The sources describe its taxonomy, geographic distribution, and morphological characteristics but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",03AA531A0F42352DFFA858EDFACAA356(plazi)|FB3F87CFF07AD93F465EF293DDA30D94(plazi)|A90387B3FFBDFFBEFF11FEC2FF515654(plazi)|A90387B3FFB4FFBCFF11FF32FC66528E(plazi)|A90387B3FFB6FFBFFF11F944FB455554(plazi),,,"there is no specific mention of the body length of *Lepidocyrtus lanuginosus*. The sources discuss various aspects of *Lepidocyrtus* taxonomy, morphology, and distribution but do not provide measurements related to *Lepidocyrtus lanuginosus* . Therefore, the body length cannot be determined from the available information.",26624705(medline)|42408953(medline)|42407751(medline)|26624165(medline),leaf_litter|soil|forest_wood|grassland,*Lepidocyrtus lanuginosus* inhabits forest soil and leaf litter in Iran . It has been specifically recorded from soil under oak trees (*Quercus castaneifolia*) and yarrow plants (*Achillea pachycephala*) as well as alfalfa fields .,721B6E0C8C30FF8FFF3824DDAE5920E1(plazi)|03E5878DFFC8FFAFFFAEF93285D0F797(plazi)
Lepidocyrtus lignorum,Lepidocyrtus,Lepidocyrtidae,707889,species,unknown,unknown,"there is no specific information regarding the diet of *Lepidocyrtus lignorum*. The sources describe taxonomic details, morphological characteristics, and phylogenetic relationships within the genus *Lepidocyrtus*, but none mention feeding habits or food sources . Further research would be required to determine the ecological niche and dietary preferences of this species.",A2620B55FFE2FFF9FF6CFF19FD5A8723(plazi)|03FB87C87F20FF82D79C66CAFB6D2BC5(plazi)|266B5D55F713FF81FF7EFA33450CF8EA(plazi)|039A87B5FFEF0E11FC02FA95FB8EF875(plazi)|9A39156EFFFD5405FF579A508022AD76(plazi),1.5,1.5,the body length of *Lepidocyrtus lignorum* is approximately 1.5 mm . This measurement refers to the maximum body length.,9A39156EFFFD5405FF579A508022AD76(plazi),marine_coastal,"Lepidocyrtus lignorum inhabits marine environments where it bore into wood, as indicated by the association of its microflora with wood from its burrows . This suggests that L. lignorum's habitat includes submerged or damp wooden structures in marine settings. No other specific habitat details are provided in the given sources.",16345871(medline)
Lepidocyrtus pallidus,Lepidocyrtus,Lepidocyrtidae,186254,species,unknown,unknown,"Lepidocyrtus pallidus is not explicitly stated to have a specific diet. However, one document mentions that *Lysitermus pallidus* (not *Lepidocyrtus pallidus*) is a parasitoid of the larvae of *Drepanocampa laichartingella*, suggesting potential parasitic relationships for similar species . No direct feeding habits for *Lepidocyrtus pallidus* are detailed in the given sources.",D3A25B4C669B598899DDB3B344CA857E(plazi),,,"there is no specific mention of the body length of *Lepidocyrtus pallidus*. The sources discuss various species of *Lepidocyrtus*, including diagnostic characters, new records, and taxonomic descriptions, but none provide measurements or body lengths for *Lepidocyrtus pallidus* . Therefore, the body length of *Lepidocyrtus pallidus* cannot be determined from the available information.",26624705(medline)|42408953(medline)|42407751(medline)|26624165(medline),synanthropic|soil,"*Lepidocyrtus pallidus* is associated with humanized environments. It has been found in various habitats such as flowerpots in a house in Finland, factories of cork agglomerates in Portugal, compost and indoor flowerpots in Finland, garden compost in the USA, plant soil in Norway, and soil of highly humanized areas in China .",553A87DDFF81FFC7DCB6FF405C353D79(plazi)
Lepidocyrtus paradoxus,Lepidocyrtus,Lepidocyrtidae,49179,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Lepidocyrtus paradoxus*. The sources mention its presence in various habitats such as meadows, forests, and grasslands but do not detail its food source . Further research would be needed to determine its dietary preferences.",PMC3131029(pmc)|PMC7290404(pmc)|10.11646/zootaxa.5147.1.1(pmc),1,1.0|1.0,"the body length of *Lepidocyrtus paradoxus* is not explicitly stated. However, it is mentioned that *Lepidocyrtus apicalis* has a body length less than 1 mm . For *Lepidocyrtus tomosvaryi*, the maximum body length is noted as 1.0 mm . These details do not directly provide the body length of *Lepidocyrtus paradoxus*. Therefore, the specific body length of *Lepidocyrtus paradoxus* cannot be…",03EF87B89823FF9CAFA8D68EFA4DC6EF(plazi)|886F87EC37099F07FF10FEA623DB619A(plazi),,"there is no specific information about the habitat of *Lepidocyrtus paradoxus*. The term ""paradoxus"" appears in the context of *Solenodon paradoxus*, which refers to a different organism, a solenodon, not a springtail. Therefore, the query might involve a misidentification or mix-up between species names. No data on *Lepidocyrtus paradoxus* habitat is available in the given sources.",03EA87B2FF9CFFC9FF26FBABFCE99DBB(plazi)
Lepidocyrtus ruber,Lepidocyrtus,Lepidocyrtidae,49178,genus,unknown,unknown,"Lepidocyrtus ruber is a springtail (Collembola) and there is no direct mention of its diet. However, Lineus ruber, a marine ribbon worm, feeds on the annelid Platynereis dumerilii . It is important to note that Lineus ruber and Lepidocyrtus ruber are distinct taxa belonging to different phyla (Nemertea vs. Collembola), thus their dietary habits are unrelated .",PMC4584431(pmc),,,"the body length of *Lepidocyrtus ruber* is not explicitly stated. However, it is mentioned alongside other species in comparative contexts, such as being part of a group with shared characteristics . For precise measurements, additional references would be needed.",039A87B5FFE00E15FCBAF917FA8AFB77(plazi),soil,Lepidocyrtus ruber inhabits soil environments in Iran . There is no additional specific habitat detail provided beyond this general description.,721B6E0C8C30FF8FFF3827FDA9A62199(plazi)
Lepidocyrtus violaceus,Lepidocyrtus,Lepidocyrtidae,707891,species,unknown,unknown,"there is no specific information regarding the diet or feeding habits of *Lepidocyrtus violaceus*. The available sources focus on taxonomy, morphology, and distribution rather than ecological interactions or dietary preferences . Further research would be needed to determine the feeding ecology of this species.",27615681(medline)|42408953(medline),,,"the body length of *Lepidocyrtus violaceus* is not explicitly mentioned. However, it is noted that *L. violaceus* is part of the *lignorum*-group, which includes several closely related species with similar morphological characteristics . Further details about its body length would require additional specific measurements from taxonomic studies or morphometric analyses.",10.11646/zootaxa.5270.2.7(pmc),freshwater|alpine_glacier,"Lepidocyrtus violaceus inhabits small to medium-sized mountain streams, specifically clinging to logs and woody debris at elevations above 1500 m in the Mira Andes .",B43B879AFFF2FFF2D794FF01FC3CFE3E(plazi)
Lepidocyrtus weidneri,Lepidocyrtus,Lepidocyrtidae,2041946,species,fungivore|algivore,fungivore,"there is no specific mention of the diet of *Lepidocyrtus weidneri*. However, related species such as *Lepidocyrtus lignorum* are noted to transition from feeding on mineral particles and biofilms to becoming typical fungal feeders over time . It is possible that *Lepidocyrtus weidneri* exhibits similar dietary preferences, though this requires direct evidence from studies focusing on this…",PMC7564799(pmc),1,1.0,"the body length of *Lepidocyrtus weidneri* is not explicitly stated. However, it can be inferred that *L. weidneri* has a similar body size to related species such as *L. pallidus*, which is typically around 1.0 mm in maximum body length . For precise measurements, additional specific references would be required.",553A87DDFF81FFC7DCB6FF405C353D79(plazi),agricultural,"there is no specific mention of the habitat of *Lepidocyrtus weidneri*. However, related species such as *Lepidocyrtus rapitalai* are found in agricultural lands like vineyards and olive orchards in Sicily . For precise habitat details of *Lepidocyrtus weidneri*, additional sources would be required.",37044746(medline)
Lipothrix lubbocki,Lipothrix,Sminthuridae,1387126,species,unknown,unknown,there is no specific information regarding the diet of *Lipothrix lubbocki*. The sources mention its taxonomy and geographic distribution but do not describe feeding habits . Further research would be needed to determine its dietary preferences.,4F034B6EFFB0357DDBA8F8903D39FCE2(plazi),,,,,,,
