species,genus,family,ncbi_taxid,taxid_matched_rank,trophic_guild,trophic_guild_indirect,trophic_evidence_type,trophic_note,trophic_n_docs,trophic_sources,trophic_qa_answer,body_size_mm,body_size_indirect_mm,body_size_note,body_size_n_docs,body_size_sources,body_size_qa_answer,habitat,habitat_indirect,habitat_evidence_type,habitat_note,habitat_n_docs,habitat_sources,habitat_qa_answer,bold_n_specimens,bold_life_stage,bold_habitat,bold_sampling_protocol,bold_country,bold_province,bold_coord,bold_elev_m,bold_collection_dates,bold_biome,bold_ecoregion
Micranurida pygmaea,Micranurida,Neanuridae,187660,species,,,,the sources contain no explicit statement about this species' diet,7,03ED87F4FFDCDD6542A3FACCFD79F876(plazi)|266B5D55F768FFFBFF7EF95442B0FE6D(plazi)|03CF878BFFB4C27621F55B0CFA87AD75(plazi)|03ED87F4FFDFDD6642A3FF4DFE4EF9BA(plazi)|E03187B3FF85D452FF31F2BFFB0EFB87(plazi)|502187F3DD43FF85FF34FB080AA7FA8F(plazi)|03EA87B2FFABFFFEFF26FF48FDD39B2B(plazi),"Based on the provided documents, no specific information about the diet or feeding habits of *Micranurida pygmaea* is given. The sources describe morphological characteristics, distribution, and taxonomic notes but do not mention its food source . Further research would be needed to determine its dietary preferences.",,0.3-0.42,body size of the target species not available; the value reported in the source is for Micranurida hunanensis,7,03ED87F4FFDCDD6542A3FACCFD79F876(plazi)|03CF878BFFB4C27621F55B0CFA87AD75(plazi)|03ED87F4FFDFDD6642A3FF4DFE4EF9BA(plazi)|E03187B3FF85D452FF31F2BFFB0EFB87(plazi)|266B5D55F768FFFBFF7EF95442B0FE6D(plazi)|03EA87B2FFABFFFEFF26FF48FDD39B2B(plazi)|502187F3DD43FF85FF34FB080AA7FA8F(plazi),"Based on the provided documents, the body length of *Micranurida pygmaea* is not explicitly stated. However, a related species, *Micranurida hunanensis*, has a body length ranging from 0.30 to 0.42 mm . Since *M. pygmaea* is described as ""pygmaean"" (meaning dwarf or very small), it is likely that its body length is similar or smaller than that of *M. hunanensis*. No direct measurements for *M. pygmaea* are given in the sources .",forest_wood|leaf_litter|soil|grassland,,direct,,7,03EA87B2FFABFFFEFF26FF48FDD39B2B(plazi)|03AECF752E2DFFD7579421F3FC60FBA6(plazi)|0380D71CFFD3FFF491FCFB3440BAFB14(plazi),"Based on the provided documents, *Micranurida pygmaea* inhabits disturbed forests of mid-altitude in Doi Inthanon, Thailand . It is also found in highlands grasslands in the state of Rio de Janeiro, Brazil, specifically in soil and leaf litter . Additionally, it occurs in subalpine belts at altitudes over 1500 m in Europe .",7,Adult,"NA|Moss, spruce/pine forest|Arctic tundra",NA,Moldova|Norway,Telemark|Svalbard,"47.3,28.95",NA,2011-2015,NA,Central_European_mixed_forests|Scandinavian_and_Russian_taiga|Russian_Arctic_desert
Monobella grassei,Monobella,Neanuridae,187671,species,,,,the sources contain no explicit statement about this species' diet,5,03CF878BFF8FC24D21CE582BFA53ADF5(plazi)|03CF878BFF8FC24D21DF5CEFFE0BA86D(plazi)|03CF878BFF88C24A21BC5B8BFCEAAA1F(plazi)|03CF878BFF88C24A21A85CB8FDBDA871(plazi)|03CF878BFF8FC24A22B65D0CFD5EAF5F(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Monobella grassei*. The sources primarily focus on taxonomic descriptions and distribution data rather than ecological preferences or dietary information , , , , . Further research would be needed to determine its feeding behavior.",,,,5,03CF878BFF8FC24D21DF5CEFFE0BA86D(plazi)|03CF878BFF8FC24D21CE582BFA53ADF5(plazi)|03CF878BFF88C24A21BC5B8BFCEAAA1F(plazi)|03CF878BFF88C24A21A85CB8FDBDA871(plazi)|03CF878BFF8FC24A22B65D0CFD5EAF5F(plazi),"Based on the provided documents, there is no specific information regarding the body length of *Monobella grassei*. The sources focus on distribution, subspecies classification, and geographical locations rather than morphological characteristics such as body length .",forest_wood,,direct,,5,03CF878BFF8FC24D21DF5CEFFE0BA86D(plazi)|03CF878BFF88C24A21BC5B8BFCEAAA1F(plazi)|03CF878BFF88C24A21A85CB8FDBDA871(plazi)|03CF878BFF8FC24D21CE582BFA53ADF5(plazi),"Based on the provided documents, *Monobella grassei* inhabits various regions across France, including the Pyrenees, Aude, Gard, Ariège, and others. Its distribution spans from low to high altitudes, with specific mentions of locations such as the Massif des Corbières and Larroque-des-Albères at elevations up to 1050 meters . The subspecies exhibit preferences for different microhabitats within these areas, often associated with rocky or forested environments .",3,NA,NA,NA,France|United Kingdom,,"NA|50.379,-3.84|51.2119,-0.3175",NA,2013-2015,NA,NA|Celtic_broadleaf_forests|English_Lowlands_beech_forests
Neanura moldavica,Neanura,Neanuridae,106919,genus,,fungivore,,"the sources contain no explicit statement about this species' diet; no explicit diet statement in the sources; value inferred; statement refers to Collembola in general, not to this species",4,29362535(medline)|541287D01975FFF326AAF8C0915EB58F(plazi)|541287D01974FFF726AAFAC0961CB5D9(plazi)|PMC5769716(pmc),"Based on the provided documents, there is no explicit information about the diet or feeding habits of *Neanura moldavica*. The document primarily describes the habitat preferences and community composition of Collembola species in northern Moldova . Further research would be needed to determine the specific dietary requirements of this species.",,,,4,29362535(medline)|541287D01974FFF726AAFAC0961CB5D9(plazi)|PMC5769716(pmc),"Based on the provided documents, there is no specific mention of the body length of *Neanura moldavica*. The text describes its presence and ecological preferences but does not provide morphological details such as body length . Further research or references would be needed for this information.",freshwater,,direct,,4,29362535(medline)|541287D01975FFF326AAF8C0915EB58F(plazi)|PMC5769716(pmc),"Based on the provided documents, Neanura moldavica is endemic to Moldova and is part of the riparian Collembola communities. It was specifically mentioned as one of the species found in the river bank habitats of Brani te, indicating its preference for such environments . There is no further detailed description of its exact microhabitat within these areas.",6,,NA,NA,Moldova,,"47.072567,28.391111",NA,2011,NA,Central_European_mixed_forests|NA
Neanura muscorum,Neanura,Neanuridae,106920,species,fungivore,,direct,,12,26153104(medline)|266B5D55F76FFFFDFF7EFDA54425FC48(plazi)|4071A517C817551FACE4744E97A5AF78(plazi)|03EA87B2FFB3FFE6FF26F969FCF99DA7(plazi)|721B6E0C8C0EFFB1FF3822E5AE7922C8(plazi)|03AA531A0F563539FFA85FBEFBE7A289(plazi)|03CF878BFF88C24B229B5B6DFD0BABF1(plazi)|PMC4495557(pmc),"Based on the provided documents, Neanura muscorum feeds on a diet supplemented with slime mould, which is essential for its growth and reproduction. This dietary requirement is linked to the 'suctorial' mouthpart morphology characteristic of the Neanuridae family .",,,,12,26153104(medline)|37161456(medline)|03EA87B2FFB3FFE6FF26F969FCF99DA7(plazi)|266B5D55F76FFFFDFF7EFDA54425FC48(plazi)|4071A517C817551FACE4744E97A5AF78(plazi)|721B6E0C8C0EFFB1FF3822E5AE7922C8(plazi)|03CF878BFF88C24B229B5B6DFD0BABF1(plazi)|PMC4495557(pmc),"Based on the provided documents, there is no specific mention of the body length of *Neanura muscorum*. The sources discuss aspects such as dietary requirements, morphological features like mouthparts and musculature, but do not provide measurements related to body length , . Further research would be needed to determine this parameter.",,,,the sources give no explicit habitat description for this species,12,26153104(medline)|03EA87B2FFB3FFE6FF26F969FCF99DA7(plazi)|721B6E0C8C0EFFB1FF3822E5AE7922C8(plazi)|4071A517C817551FACE4744E97A5AF78(plazi)|PMC10169344(pmc)|PMC4495557(pmc),"Based on the provided documents, Neanura muscorum is associated with environments where slime mould is present, as it can be reared in laboratory conditions when its diet is supplemented with slime mould . However, specific details about its natural habitat are not explicitly mentioned in the sources.",52,A|I|Adult|NA|immature|adult,"NA|EUNIS G4; Formica polyctena nest. Deciduous forest|Sea shore|Peatland|Arctic city garden|R1M Lowland to montane, dry to mesic grassland usually dominated by Nardus stricta|R1, Dry grasslands","NA|Pan Trap|Soil/litter sample|Litter from decaying pine stump|Moss sample|Litter sample, under decaying aspen|soil corer",France|Moldova|Denmark|United Kingdom|Finland|Estonia|Germany,Occitanie|Baden-Wuerttemberg,"NA|47.3,28.95|47.3,28.0667",NA,1997-2023,NA|Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,NA|Central_European_mixed_forests|Pyrenees_conifer_and_mixed_forests|Baltic_mixed_forests|Sarmatic_mixed_forests|Scandinavian_and_Russian_taiga|Celtic_broadleaf_forests|Western_European_broadleaf_forests
Neelides minutus,Neelides,Neelidae,332382,species,,,,the sources contain no explicit statement about this species' diet,2,03A8760E7B1E4F0672BBFE08D00E75EC(plazi)|03CF878BFFE0C22220055B8CFEFCAA1F(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Neelides minutus* . The sources primarily focus on taxonomic descriptions, distribution, and ecological indicators rather than dietary preferences. Further research would be needed to determine its food source.",,,,2,03CF878BFFE0C22220055B8CFEFCAA1F(plazi)|03A8760E7B1E4F0672BBFE08D00E75EC(plazi),"Based on the provided documents, there is no specific mention of the body length of *Neelides minutus*. The sources discuss its distribution, ecology, and morphological characteristics but do not provide measurements , .",,soil,,the sources give no explicit habitat description for this species; no explicit habitat description in the sources; value inferred,2,03CF878BFFE0C22220055B8CFEFCAA1F(plazi),"Based on the provided documents, Neelides minutus is found in the region of Morvan and also in the Tarn and Aude departments, as well as the Montagne Noire area . It is noted as a bioindicator species, suggesting it may inhabit specific ecological conditions indicative of certain environmental qualities . However, detailed habitat preferences such as soil type or moisture levels are not explicitly mentioned in the given sources.",1,NA,"R1, Dry grasslands",soil corer,Germany,Baden-Wuerttemberg,"47.9,8.07",970,2022,NA,NA
Neelus koseli,Neelus,Neelidae,1136003,species,,,,the sources contain no explicit statement about this species' diet,6,03F6757CFF7BA640FF4CF8D2DCB96CAA(plazi)|03A8760E7B614F0772BBFBDDD06270F3(plazi)|5E3487991A52A329FF0D5BA4606BEB42(plazi)|3545FC68FFF1FFC8A691FEB7C35CABBC(plazi)|03A8760E7B634F1772BBFF45D63672A9(plazi)|10.5852/ejt.2017.363(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Neelus koseli*. The sources discuss taxonomic relationships, morphological characteristics, and geographic distribution but do not mention dietary preferences . Further research would be needed to determine the ecological niche and food source of this species.",,,"nearest measurement in the source is a body part, not body length (300 µm); nearest measurement in the source is a body part, not body length (0.32 mm); nearest measurement in the source is a body part, not body length (0.3 mm)",6,5E3487991A52A329FF0D5BA4606BEB42(plazi)|10.5852/ejt.2017.363(pmc),"Based on the provided documents, the body length of *Neelus koseli* is not explicitly mentioned. However, the description mentions ""head length and width as 320 and 300 µm, respectively"" . This suggests that the head dimensions are approximately 0.32 mm and 0.3 mm, but without additional data on the entire body length, an exact measurement cannot be determined from the given sources.",soil|cave,,direct,"habitat statement concerns Silicikum platform, not the target species",6,5E3487991A52A329FF0D5BA4606BEB42(plazi)|10.5852/ejt.2017.363(pmc),"Based on the provided documents, *Neelus koseli* is an obligate cave-dwelling species inhabiting subterranean environments. It is part of the fauna found in the Silicikum platform's underground habitats prior to the region's tectonic fragmentation . This species contributes to the understanding of cave ecosystems in the Western Carpathians, indicating the presence of terrestrial troglobionts in this area .",1,,NA,NA,Slovakia,,"48.86,21.17",NA,2009,NA,Pannonian_mixed_forests
Oligaphorura absoloni,Oligaphorura,Onychiuridae,1052799,genus,,,,the sources contain no explicit statement about this species' diet,4,721B6E0C8C1DFFA3FF382645A88F273C(plazi)|266B5D55F758FFCAFF7EFE55450CFC0A(plazi)|4F034B6EFFB93575D938F9723A30FB8F(plazi)|03CF878BFFBCC27E22945B28FAE7AA6C(plazi),"Based on the provided documents, there is no specific information about the diet or feeding habits of *Oligaphorura absoloni*. The sources describe its ecological preferences and geographic distribution but do not mention what it feeds on .",,,,4,03CF878BFFBCC27E22945B28FAE7AA6C(plazi)|266B5D55F758FFCAFF7EFE55450CFC0A(plazi)|721B6E0C8C1DFFA3FF382645A88F273C(plazi)|4F034B6EFFB93575D938F9723A30FB8F(plazi),"Based on the provided documents, there is no specific mention of the body length of *Oligaphorura absoloni*. The sources discuss its taxonomy, geographic distribution, and ecological preferences but do not provide morphological measurements .",leaf_litter|soil|forest_wood,,direct,"habitat statement concerns Holarctic species, not the target species",4,4F034B6EFFB93575D938F9723A30FB8F(plazi)|721B6E0C8C1DFFA3FF382645A88F273C(plazi)|03CF878BFFBCC27E22945B28FAE7AA6C(plazi),"Based on the provided documents, *Oligaphorura absoloni* inhabits soil and leaf litter under oak forests in Iran . It is a widespread Holarctic species commonly found in various forest types, including pine, maple, and beech forests . The species has been recorded at elevations ranging from 400 to 2400 meters across different regions . Its ecological preferences include wooded areas with vegetation cover .",3,Adult,"U. bark, dead birch trees",NA,Norway,Oppland,"61.471,8.817",NA,2014,NA,Scandinavian_Montane_Birch_forest_and_grasslands
Oligaphorura groenlandica,Oligaphorura,Onychiuridae,1790190,species,,,,the sources contain no explicit statement about this species' diet,7,21396373(medline)|9FB1576037A101BD33B713A1BCEC8340(plazi)|03CF878BFFBDC27F21D95C4FFEA4A85D(plazi)|CBF9ABB8AE4EF3758F22485050337639(plazi)|EAE8D8E4C398888BD256E332009CB892(plazi)|A202E58DDDB044CBEFC92CF1ABBD6371(plazi)|PMC4389124(pmc),"Based on the provided documents, there is no specific information about the diet of *Oligaphorura groenlandica*. The source mentions its overwintering strategy but does not describe its feeding habits . Further research would be needed to determine its dietary preferences.",,,,7,21396373(medline)|CBF9ABB8AE4EF3758F22485050337639(plazi)|03CF878BFFBDC27F21D95C4FFEA4A85D(plazi)|PMC4389124(pmc),"Based on the provided documents, the body length of *Oligaphorura groenlandica* is not specified .",,,,the sources give no explicit habitat description for this species,7,21396373(medline)|03CF878BFFBDC27F21D95C4FFEA4A85D(plazi)|9FB1576037A101BD33B713A1BCEC8340(plazi)|PMC4389124(pmc),"Based on the provided documents, Oligaphorura groenlandica is a springtail species that overwinters in an Arctic environment, as it is mentioned alongside other Arctic springtails . The specific habitat details are not explicitly stated, but its association with Arctic conditions suggests it inhabits cold, possibly terrestrial environments typical of Arctic regions.",3,Adult,Arctic tundra,NA,Norway,Svalbard,"79.252,20.134",NA,2013,NA,NA
Oligaphorura uralica,Oligaphorura,Onychiuridae,1052799,genus,,,,the sources contain no explicit statement about this species' diet,1,013C8786FFB6FFD0FEAA363D4E7EFE82(plazi),"Based on the provided documents, there is no specific information given about the diet or feeding habits of *Oligaphorura uralica*. The text describes taxonomic distinctions but does not mention ecological data related to its food source .",,,,1,013C8786FFB6FFD0FEAA363D4E7EFE82(plazi),"Based on the provided documents, the body length of *Oligaphorura uralica* is not specified . The text mentions its classification and some morphological features but does not provide measurements for body length.",,,,the sources give no explicit habitat description for this species,1,013C8786FFB6FFD0FEAA363D4E7EFE82(plazi),"Based on the provided documents, the specific habitat of *Oligaphorura uralica* is not explicitly mentioned. The text primarily discusses taxonomic distinctions between various *Micraphorura* species, including *O. uralica*, but does not provide details about its ecological or geographic distribution . Further research would be needed to determine its habitat preferences.",3,,NA,NA,Moldova,,"47.28333,28.01667|47.2833,28.0167",NA,2010,NA,Central_European_mixed_forests
Oligaphorura ursi,Oligaphorura,Onychiuridae,1052799,genus,,,,the sources contain no explicit statement about this species' diet,2,9FB1576037A101BD33B713A1BCEC8340(plazi)|PMC4389124(pmc),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Oligaphorura ursi*. The sources describe its habitat and morphological characteristics but do not mention its food source . Further research would be needed to determine its dietary preferences.",,,,2,9FB1576037A101BD33B713A1BCEC8340(plazi)|PMC4389124(pmc),"Based on the provided documents, the body length of *Oligaphorura ursi* is not specified . The description focuses on morphological features such as the number and type of setae but does not provide measurements related to body length.",,,,,2,9FB1576037A101BD33B713A1BCEC8340(plazi)|PMC4389124(pmc),"Based on the provided documents, *Oligaphorura ursi* inhabits different wet sites above the tree line in the Magadan region . This species is noted as being common in these environments, contrasting with its relative *Oligaphorura groenlandica*.",3,Adult,Arctic tundra,NA,Norway,Svalbard,"79.252,20.134",NA,2013,NA,NA
Oncopodura crassicornis,Oncopodura,Oncopoduridae,187676,species,,,,the sources contain no explicit statement about this species' diet,6,E03187B3FFF4D423FF31F4FFFD1DF952(plazi)|DE3DBD36FFDEDC70E304F9C0FD87FC28(plazi)|03CF878BFFDFC21D21D85E0DFD5EA97B(plazi)|502187F3DD5BFF9DFF34FB890A45FB77(plazi)|2578E112FFB4FE28FF5B9303FC00FCE1(plazi),"Based on the provided documents, there is no specific information regarding the diet or feeding habits of *Oncopodura crassicornis*. The sources primarily describe its distribution, taxonomy, and occurrence in various regions but do not mention its food source .",,,,6,DE3DBD36FFDEDC70E304F9C0FD87FC28(plazi)|03CF878BFFDFC21D21D85E0DFD5EA97B(plazi)|E03187B3FFF4D423FF31F4FFFD1DF952(plazi)|502187F3DD5BFF9DFF34FB890A45FB77(plazi),"Based on the provided documents, there is no specific mention of the body length of *Oncopodura crassicornis*. The available information focuses on its distribution, citations, and general morphology but does not provide detailed measurements .",forest_wood|agricultural,,direct,,6,E03187B3FFF4D423FF31F4FFFD1DF952(plazi)|03CF878BFFDFC21D21D85E0DFD5EA97B(plazi)|DE3DBD36FFDEDC70E304F9C0FD87FC28(plazi),"Based on the provided documents, Oncopodura crassicornis is found in forested areas and cultivated lands in Vietnam, specifically mentioned in the Mekong River Delta region within the Lung Ng.c Ho.ng natural reserve . Additionally, it has been recorded in various locations across the Palaearctic region, including mountainous areas such as the Massif del Arize in France . The species is also noted to be frequent in certain sampling sites, suggesting its presence in diverse habitats within its range .",2,NA,"R1, Dry grasslands|epikarst",soil corer|NA,Germany|Slovakia,Baden-Wuerttemberg|Zilina,"47.79,9.4|49.006,19.584",670|NA,2019-2022,NA|Temperate_Conifer_Forest_simplify-0.001_buffered-0.018,NA|Carpathian_montane_forests
Onychiuroides alpinus,Onychiuroides,Onychiuridae,,,,,,,0,,,,,,0,,,,,,,0,,,3,,cave,pitfall traps,Italy,,"45.89436,11.388695",NA,2022,NA,NA
Onychiuroides granulosus,Onychiuroides,Onychiuridae,,,,,,the sources contain no explicit statement about this species' diet,2,721B6E0C8C1CFFA3FF382274A93F2214(plazi)|03CF878BFFBDC27F21E75A89FD72AACE(plazi),"Based on the provided documents, there is no specific information given about the diet of *Onychiuroides granulosus* , . The sources mention its ecological habitat as soil but do not specify feeding habits. Further research would be needed to determine its food source.",,,,2,03CF878BFFBDC27F21E75A89FD72AACE(plazi)|721B6E0C8C1CFFA3FF382274A93F2214(plazi),"Based on the provided documents, there is no specific information given about the body length of *Onychiuroides granulosus* , . The sources mention its distribution and ecology but do not provide measurements related to its body size.",soil,,direct,,2,721B6E0C8C1CFFA3FF382274A93F2214(plazi)|03CF878BFFBDC27F21E75A89FD72AACE(plazi),"Based on the provided documents, Onychiuroides granulosus is found in soil habitats in Iran . Additionally, it is mentioned in relation to specific regions in France, such as the Northern Pyrenees and Tarn, but no explicit habitat details are given for these locations .",3,,cave,pitfall traps,Italy,,"45.72375,9.910944|45.742027,9.880917",NA,2023,NA,NA
Onychiurus ambulans,Onychiurus,Onychiuridae,187677,species,,,,the sources contain no explicit statement about this species' diet,5,5852220F44D1B869FDAF4AA97053FBED(plazi)|E03187B3FFB7D460FF31F35EFD41FB13(plazi)|03CF878BFFBDC27C229F5A29FD5EADC9(plazi)|10.11646/zootaxa.5147.1.1(pmc)|10.11646/zootaxa.5182.5.3(pmc),"Based on the provided documents, there is no specific information regarding the diet of *Onychiurus ambulans*. The sources describe its distribution, taxonomy, and morphological characteristics but do not mention feeding habits . Further research would be needed to determine its dietary preferences.",,1.4-1.8,body size of the target species not available; the value reported in the source is for Onychiurus heilongjiangensis,5,5852220F44D1B869FDAF4AA97053FBED(plazi)|10.11646/zootaxa.5147.1.1(pmc)|10.11646/zootaxa.5182.5.3(pmc),"Based on the provided documents, the body length of *Onychiurus ambulans* is not explicitly stated. However, for a closely related species, *Onychiurus heilongjiangensis*, the body length is given as females 1.6-1.8 mm and males 1.4-1.6 mm . This may provide an approximate idea but does not directly answer the query about *Onychiurus ambulans*.",forest_wood|grassland|agricultural|synanthropic,,direct,,5,E03187B3FFB7D460FF31F35EFD41FB13(plazi)|03CF878BFFBDC27C229F5A29FD5EADC9(plazi)|10.11646/zootaxa.5147.1.1(pmc),"Based on the provided documents, *Onychiurus ambulans* inhabits forests, grasslands, cultivated lands, and gardens in Vietnam . It is also found in various regions of Europe, including France, Ardennes, Aveyron, and Calvados .",1,,NA,NA,France,,"46.64237,2.1940236",NA,1998,NA,Western_European_broadleaf_forests
Onychiurus folsomi,Onychiurus,Onychiuridae,136168,genus,,,,the sources contain no explicit statement about this species' diet,3,20821452(medline)|038A8793FFB2677354C6F8CBFBAEFE84(plazi),"Based on the provided documents, there is no specific information regarding the diet of *Onychiurus folsomi*. The source discusses the toxicity of methyl tert-butyl ether (MTBE) to this species but does not mention its feeding habits . Further research would be needed to determine what *Onychiurus folsomi* feeds on.",,,,3,20821452(medline)|038A8793FFB2677354C6F8CBFBAEFE84(plazi)|460287B0FFA7E57218989917FC1FF948(plazi),"Based on the provided documents, there is no specific information regarding the body length of *Onychiurus folsomi*. The source discusses the toxicity of methyl tert-butyl ether (MTBE) to this species but does not provide morphological details such as body length . Further research would be required to determine this characteristic.",,soil,,the sources give no explicit habitat description for this species,3,20821452(medline)|460287B0FFA7E57218989917FC1FF948(plazi),"Based on the provided documents, Onychiurus folsomi is a species of soil invertebrate tested for toxicity from methyl tert-butyl ether (MTBE), indicating its habitat is soil environments . Specific details about its preferred microhabitat or ecological niche are not provided in the given source.",2,A,NA,NA,Germany,,"50.141,8.505",NA,,NA,Western_European_broadleaf_forests
Orchesella bifasciata,Orchesella,Orchesellidae,576794,species,,,,the sources contain no explicit statement about this species' diet,3,34141231(medline)|03CF878BFFCCC20E200B5CC1FDA9A8C0(plazi)|PMC8207353(pmc),"Based on the provided documents, there is no specific information about the diet of *Orchesella bifasciata*. The document mentions that *Orchesella bifasciata* is an indicator species for 2 DD samples but does not provide details regarding its feeding habits . Further research would be needed to determine its dietary preferences.",,,,3,34141231(medline)|03CF878BFFCCC20E200B5CC1FDA9A8C0(plazi)|PMC8207353(pmc),"Based on the provided documents, there is no specific information given about the body length of *Orchesella bifasciata*. The source mentions the species as an indicator for a particular degree of decay (DD) but does not provide morphological details such as body length .",,forest_wood,,the sources give no explicit habitat description for this species,3,34141231(medline)|03CF878BFFCCC20E200B5CC1FDA9A8C0(plazi)|PMC8207353(pmc),"Based on the provided documents, Orchesella bifasciata is associated with decaying wood samples having a decay degree (DD) of 2. This suggests that its habitat includes environments where wood is in an intermediate stage of decomposition . However, specific ecological preferences or detailed habitat characteristics beyond this association are not described in the given source.",61,Adult|adult|NA,"EUNIS C3; Littoral zone of inland surface waterbodies. Flushed organic matter at lakeshore|Sea shore|Dry meadow|Coniferous forest|NA|Moss in forest|F9.2, Willow carr and fen scrub",NA|Soil/litter sample|Pitfall trap|Pine needle litter sample|Malaise Trap,Denmark|Finland|Estonia|Germany|Sweden|Norway,Bavaria|Vestfold|Mecklenburg-Vorpommern,"56.19,9.57|60.154,24.865|59.825,21.587",NA,2013-2021,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|NA|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,Baltic_mixed_forests|NA|Sarmatic_mixed_forests|Scandinavian_and_Russian_taiga|Western_European_broadleaf_forests
Orchesella cincta,Orchesella,Orchesellidae,48709,species,algivore,,experimental,the sources contain no explicit statement about this species' diet; evidence from laboratory feeding experiments; may not reflect the diet in the field,18,12919785(medline)|EC6387A4FFEA3733FF62A674FAC3FE6A(plazi)|266B5D55F710FF82FF7EFB5B444CF9B4(plazi)|721B6E0C8C34FF8BFF38222EAE01226A(plazi)|03CF878BFFCCC20E200D5A26FA87AA77(plazi)|03E5878DFFCEFFA9FFAEF9C88344F783(plazi)|0383FA70377D8B77C69FFDAA5ECCFCC1(plazi)|PMC5802828(pmc),"Based on the provided documents, Orchesella cincta feeds on algae. Specifically, it was noted that Orchesella cincta was used in bioassays where they were fed algae spiked with pyrene, indicating their dietary inclusion of algae . However, no direct information regarding its natural diet beyond this context is provided in the given sources.",,,,18,28311313(medline)|EC6387A4FFEA3733FF62A674FAC3FE6A(plazi)|721B6E0C8C34FF8BFF38222EAE01226A(plazi)|266B5D55F710FF82FF7EFB5B444CF9B4(plazi)|03CF878BFFCCC20E200D5A26FA87AA77(plazi)|03E5878DFFCEFFA9FFAEF9C88344F783(plazi)|PMC4987106(pmc),"Based on the provided documents, specific body length measurements for *Orchesella cincta* are not explicitly mentioned. However, studies involving this species often reference its size in the context of other organisms or ecological interactions, suggesting it is a small arthropod typically measuring millimeters in length . For precise body length details, additional direct measurement data would be required.",soil|forest_wood|leaf_litter,,direct,,17,12927496(medline)|29410494(medline)|03E5878DFFCEFFA9FFAEF9C88344F783(plazi)|721B6E0C8C34FF8BFF38222EAE01226A(plazi)|0383FA70377D8B77C69FFDAA5ECCFCC1(plazi)|PMC4987106(pmc),"Based on the provided documents, Orchesella cincta inhabits forest floors and soils, where it plays a role in decomposing organic matter and interacting with microbial communities . It is specifically mentioned to dwell in soil environments, such as pine litter substrates, and is part of the soil food web .",683,NA|adult|Adult|immature,"NA|Oak|EUNIS C3; Littoral zone of inland surface waterbodies. Flushed organic matter at lakeshore|Garden|Coniferous forest|Urban|Dry pine litter|a front-garden|H3.6, Weathered rock and outcrop habitats",Malaise Trap|Berlese trap|NA|Pan Trap|Litter sample from decaying birch|Pitfall trap|Soil/litter sample|Litter sample from decaying birch stump|beating,United Kingdom|France|Moldova|Poland|Denmark|Finland|Estonia|Belarus|Germany|Norway|Belgium,Ile-de-France|Normandie|Minsk|Bavaria|Sor-Trondelag|Vestfold|England,"51.49583,-0.1783333",NA,2002-2025,Temperate_Broadleaf_&_Mixed_Forest_simplify-0.001_buffered-0.018|NA|Boreal_Forest_Taiga_simplify-0.1_buffered-0.018,"English_Lowlands_beech_forests|NA|European_Atlantic_mixed_forests|Western_European_broadleaf_forests|Central_European_mixed_forests|Baltic_mixed_forests|Celtic_broadleaf_forests|Sarmatic_mixed_forests|Scandinavian_and_Russian_taiga|Sarmatic_mixed_forests, Central_European_mixed_forests"
